replicate_seed,generation,mutation_rate,policy,count,payoff,average_payoff_per_round,cooperation_rate,selected_count,mutations_in,mutations_out,next_count
20260926,6,0.02,forgiving_tit_for_tat,22,28666,2.606,0.8567272727272728,23,0,2,21
20260926,6,0.02,pavlov,20,25500,2.55,0.91,20,4,0,24
20260926,6,0.02,tit_for_tat,25,32586,2.60688,0.83152,26,1,2,25
20260926,7,0.02,always_cooperate,16,20880,2.61,1.0,16,1,1,16
20260926,7,0.02,always_defect,14,16744,2.392,0.0,13,1,1,13
20260926,7,0.02,forgiving_tit_for_tat,21,27980,2.664761904761905,0.878095238095238,21,0,0,21
20260926,7,0.02,pavlov,24,31475,2.622916666666667,0.9245833333333333,24,0,0,24
20260926,7,0.02,tit_for_tat,25,33909,2.71272,0.87688,26,0,0,26
20260926,8,0.02,always_cooperate,16,21030,2.62875,1.0,16,0,2,14
20260926,8,0.02,always_defect,13,15628,2.4043076923076923,0.0,12,1,0,13
20260926,8,0.02,forgiving_tit_for_tat,21,28442,2.708761904761905,0.894095238095238,22,1,0,23
20260926,8,0.02,pavlov,24,31875,2.65625,0.93125,24,0,1,23
20260926,8,0.02,tit_for_tat,26,35031,2.6946923076923075,0.8691538461538462,26,1,0,27
20260926,9,0.02,always_cooperate,14,18420,2.6314285714285712,1.0,14,0,0,14
20260926,9,0.02,always_defect,13,15376,2.3655384615384616,0.0,12,0,0,12
20260926,9,0.02,forgiving_tit_for_tat,23,30870,2.6843478260869564,0.8852173913043478,23,0,0,23
20260926,9,0.02,pavlov,23,30200,2.626086956521739,0.9252173913043479,23,0,0,23
20260926,9,0.02,tit_for_tat,27,36951,2.737111111111111,0.8873333333333333,28,0,0,28
20260927,0,0.02,always_cooperate,20,23400,2.34,1.0,19,1,1,19
20260927,0,0.02,always_defect,20,25240,2.524,0.0,20,1,0,21
20260927,0,0.02,forgiving_tit_for_tat,20,25556,2.5556,0.8384,20,0,0,20
20260927,0,0.02,pavlov,20,24950,2.495,0.899,20,0,0,20
20260927,0,0.02,tit_for_tat,20,25884,2.5884,0.8236,21,0,1,20
20260927,1,0.02,always_cooperate,19,22920,2.4126315789473685,1.0,19,1,1,19
20260927,1,0.02,always_defect,21,24892,2.3706666666666667,0.0,20,0,1,19
20260927,1,0.02,forgiving_tit_for_tat,20,25160,2.516,0.824,20,0,1,19
20260927,1,0.02,pavlov,20,24550,2.455,0.891,20,1,0,21
20260927,1,0.02,tit_for_tat,20,25632,2.5632,0.8128,21,1,0,22
20260927,2,0.02,always_cooperate,19,23190,2.4410526315789474,1.0,18,0,0,18
20260927,2,0.02,always_defect,19,23108,2.432421052631579,0.0,18,1,0,19
20260927,2,0.02,forgiving_tit_for_tat,19,24518,2.580842105263158,0.8475789473684211,20,0,0,20
20260927,2,0.02,pavlov,21,26200,2.4952380952380953,0.8990476190476191,21,0,2,19
20260927,2,0.02,tit_for_tat,22,28590,2.599090909090909,0.8281818181818181,23,1,0,24
20260927,3,0.02,always_cooperate,18,21750,2.4166666666666665,1.0,17,0,0,17
20260927,3,0.02,always_defect,19,22512,2.369684210526316,0.0,18,0,0,18
20260927,3,0.02,forgiving_tit_for_tat,20,25864,2.5864,0.8496,21,0,0,21
20260927,3,0.02,pavlov,19,23950,2.5210526315789474,0.9042105263157895,19,1,0,20
20260927,3,0.02,tit_for_tat,24,31443,2.62025,0.83725,25,0,1,24
20260927,4,0.02,always_cooperate,17,20730,2.438823529411765,1.0,16,0,2,14
